River,Station,Latitude,Longitude,2026-08-22,2026-08-23
River Indus,Kargil,34.56,76.13,0.5,1.1
River Indus,Leh and Ladakh,34.15,77.58,0.2,0.2
River Indus,Kakul,34.18,73.25,2.2,3.1
River Indus,Malam Jabba,34.79,72.57,4.0,2.7
River Jhelum,Srinagar,34.08,74.79,1.9,4.6
River Jhelum,Bandipore,34.42,74.64,1.8,0.7
River Jhelum,Pulwama,33.87,74.89,3.8,
River Jhelum,Badgam,34.02,74.77,,4.6
River Jhelum,Kupwara,34.53,74.26,0.2,0.1
River Jhelum,Baramulla,34.2,74.35,1.3,0.0
River Jhelum,Anantnag,33.73,75.15,1.2,2.6
River Jhelum,Poonch,33.77,74.09,1.5,1.9
River Jhelum,Qila Rohtas,32.65,73.58,4.5,7.9
River Jhelum,Mangla,33.14,73.64,6.2,31.3
River Jhelum,Mandi Bahauddin,32.59,73.49,2.8,
River Jhelum,Chakwal,32.93,72.86,,19.4
River Jhelum,Palandri,33.71,73.75,3.0,3.1
River Chenab,Kishtwar,33.31,75.77,5.9,1.0
River Chenab,Ramban,33.24,75.24,3.6,0.1
River Chenab,Reasi,33.08,74.83,11.5,12.1
River Chenab,Jammu,32.73,74.86,8.7,11.8
River Chenab,Rajouri,33.38,74.31,3.3,7.0
River Chenab,Doda,33.15,75.55,,
River Chenab,Gujranwala,32.16,74.19,2.4,6.6
River Chenab,Sialkot,32.49,74.52,11.1,8.0
River Chenab,Hafizabad,32.07,73.69,6.6,2.5
River Chenab,Gujrat,32.57,74.08,7.9,10.1
River Ravi,Chamba,32.55,76.13,6.9,2.0
River Ravi,Kathua,32.37,75.52,3.7,3.5
River Ravi,Gurdaspur,32.04,75.4,2.4,
River Ravi,Pathankot,32.27,75.65,,4.1
River Ravi,Narowal,32.1,74.87,10.6,8.0
River Ravi,Okara,30.81,73.45,0.0,0.4
River Ravi,Lahore,31.52,74.36,0.2,1.2
River Sutlej,Bilaspur,31.33,76.76,3.7,5.5
River Sutlej,Kangra,32.1,76.27,0.6,5.6
River Sutlej,Kullu,31.96,77.11,7.0,4.2
River Sutlej,Mandi,31.71,76.93,,
River Sutlej,Solan,30.9,77.1,3.4,4.9
River Sutlej,Hoshiarpur,31.53,75.91,6.1,6.2
River Sutlej,Kapurthala,31.38,75.38,5.1,1.8
River Sutlej,Bahawalnagar,29.99,73.25,0.0,0.0
Nullah Aik & Palku,Udhampur,32.92,75.14,10.8,7.2
Nullah Deg,Samba,32.57,75.12,5.3,9.7
