River,Station,Latitude,Longitude,2026-07-28,2026-07-29
River Indus,Kargil,34.56,76.13,0.3,1.1
River Indus,Leh and Ladakh,34.15,77.58,1.5,0.7
River Indus,Kakul,34.18,73.25,0.9,4.5
River Indus,Malam Jabba,34.79,72.57,2.4,3.1
River Jhelum,Srinagar,34.08,74.79,5.0,0.9
River Jhelum,Bandipore,34.42,74.64,1.6,0.5
River Jhelum,Pulwama,33.87,74.89,1.3,3.1
River Jhelum,Badgam,34.02,74.77,5.0,
River Jhelum,Kupwara,34.53,74.26,,0.1
River Jhelum,Baramulla,34.2,74.35,0.6,0.4
River Jhelum,Anantnag,33.73,75.15,0.3,0.2
River Jhelum,Poonch,33.77,74.09,2.0,7.0
River Jhelum,Qila Rohtas,32.65,73.58,1.5,16.7
River Jhelum,Mangla,33.14,73.64,0.9,17.2
River Jhelum,Mandi Bahauddin,32.59,73.49,1.0,8.5
River Jhelum,Chakwal,32.93,72.86,1.9,2.1
River Jhelum,Palandri,33.71,73.75,,
River Chenab,Kishtwar,33.31,75.77,11.3,7.7
River Chenab,Ramban,33.24,75.24,2.8,3.3
River Chenab,Reasi,33.08,74.83,9.3,6.1
River Chenab,Jammu,32.73,74.86,5.3,3.4
River Chenab,Rajouri,33.38,74.31,3.3,18.5
River Chenab,Doda,33.15,75.55,11.7,4.6
River Chenab,Gujranwala,32.16,74.19,1.8,0.4
River Chenab,Sialkot,32.49,74.52,3.0,8.0
River Chenab,Hafizabad,32.07,73.69,,
River Chenab,Gujrat,32.57,74.08,2.4,16.5
River Ravi,Chamba,32.55,76.13,9.7,4.8
River Ravi,Kathua,32.37,75.52,5.5,16.7
River Ravi,Gurdaspur,32.04,75.4,5.4,13.5
River Ravi,Pathankot,32.27,75.65,4.0,12.4
River Ravi,Narowal,32.1,74.87,7.0,12.3
River Ravi,Okara,30.81,73.45,0.2,1.9
River Ravi,Lahore,31.52,74.36,3.9,
River Sutlej,Bilaspur,31.33,76.76,5.6,
River Sutlej,Kangra,32.1,76.27,,23.2
River Sutlej,Kullu,31.96,77.11,12.9,22.0
River Sutlej,Mandi,31.71,76.93,19.9,11.0
River Sutlej,Solan,30.9,77.1,6.6,13.2
River Sutlej,Hoshiarpur,31.53,75.91,6.7,2.5
River Sutlej,Kapurthala,31.38,75.38,5.8,4.3
River Sutlej,Bahawalnagar,29.99,73.25,0.3,0.6
Nullah Aik & Palku,Udhampur,32.92,75.14,9.6,3.1
Nullah Deg,Samba,32.57,75.12,2.9,
