River,Station,Latitude,Longitude,2026-08-11,2026-08-12
River Indus,Kargil,34.56,76.13,0.1,1.1
River Indus,Leh and Ladakh,34.15,77.58,0.0,6.4
River Indus,Kakul,34.18,73.25,2.1,3.4
River Indus,Malam Jabba,34.79,72.57,1.8,4.4
River Jhelum,Srinagar,34.08,74.79,0.0,0.6
River Jhelum,Bandipore,34.42,74.64,0.4,0.0
River Jhelum,Pulwama,33.87,74.89,,
River Jhelum,Badgam,34.02,74.77,0.0,0.6
River Jhelum,Kupwara,34.53,74.26,0.0,0.0
River Jhelum,Baramulla,34.2,74.35,0.1,0.0
River Jhelum,Anantnag,33.73,75.15,0.1,0.0
River Jhelum,Poonch,33.77,74.09,8.2,12.1
River Jhelum,Qila Rohtas,32.65,73.58,1.4,3.2
River Jhelum,Mangla,33.14,73.64,,
River Jhelum,Mandi Bahauddin,32.59,73.49,0.8,5.2
River Jhelum,Chakwal,32.93,72.86,0.4,3.3
River Jhelum,Palandri,33.71,73.75,6.3,19.9
River Chenab,Kishtwar,33.31,75.77,1.6,5.1
River Chenab,Ramban,33.24,75.24,4.3,2.6
River Chenab,Reasi,33.08,74.83,7.4,4.4
River Chenab,Jammu,32.73,74.86,,
River Chenab,Rajouri,33.38,74.31,3.8,5.7
River Chenab,Doda,33.15,75.55,6.5,5.4
River Chenab,Gujranwala,32.16,74.19,2.6,0.1
River Chenab,Sialkot,32.49,74.52,9.9,0.5
River Chenab,Hafizabad,32.07,73.69,0.2,0.2
River Chenab,Gujrat,32.57,74.08,1.0,0.0
River Ravi,Chamba,32.55,76.13,27.8,
River Ravi,Kathua,32.37,75.52,19.9,
River Ravi,Gurdaspur,32.04,75.4,,0.3
River Ravi,Pathankot,32.27,75.65,24.7,2.4
River Ravi,Narowal,32.1,74.87,11.8,0.0
River Ravi,Okara,30.81,73.45,0.7,0.2
River Ravi,Lahore,31.52,74.36,2.6,0.2
River Sutlej,Bilaspur,31.33,76.76,5.6,0.5
River Sutlej,Kangra,32.1,76.27,84.0,
River Sutlej,Kullu,31.96,77.11,,1.6
River Sutlej,Mandi,31.71,76.93,16.5,1.3
River Sutlej,Solan,30.9,77.1,13.1,1.6
River Sutlej,Hoshiarpur,31.53,75.91,4.6,0.1
River Sutlej,Kapurthala,31.38,75.38,9.1,0.2
River Sutlej,Bahawalnagar,29.99,73.25,0.0,0.0
Nullah Aik & Palku,Udhampur,32.92,75.14,9.1,
Nullah Deg,Samba,32.57,75.12,,0.0
