River,Station,Latitude,Longitude,2026-08-13,2026-08-14
River Indus,Kargil,34.56,76.13,4.9,1.5
River Indus,Leh and Ladakh,34.15,77.58,7.0,1.1
River Indus,Kakul,34.18,73.25,1.3,3.7
River Indus,Malam Jabba,34.79,72.57,0.6,3.9
River Jhelum,Srinagar,34.08,74.79,0.3,6.3
River Jhelum,Bandipore,34.42,74.64,0.0,3.9
River Jhelum,Pulwama,33.87,74.89,1.7,1.6
River Jhelum,Badgam,34.02,74.77,0.3,
River Jhelum,Kupwara,34.53,74.26,,2.0
River Jhelum,Baramulla,34.2,74.35,0.6,1.3
River Jhelum,Anantnag,33.73,75.15,0.8,0.3
River Jhelum,Poonch,33.77,74.09,0.6,5.6
River Jhelum,Qila Rohtas,32.65,73.58,5.3,11.0
River Jhelum,Mangla,33.14,73.64,0.4,10.7
River Jhelum,Mandi Bahauddin,32.59,73.49,1.8,12.8
River Jhelum,Chakwal,32.93,72.86,0.1,
River Jhelum,Palandri,33.71,73.75,,6.7
River Chenab,Kishtwar,33.31,75.77,3.1,6.2
River Chenab,Ramban,33.24,75.24,5.0,5.4
River Chenab,Reasi,33.08,74.83,4.6,14.9
River Chenab,Jammu,32.73,74.86,2.2,13.8
River Chenab,Rajouri,33.38,74.31,1.8,9.6
River Chenab,Doda,33.15,75.55,5.0,15.6
River Chenab,Gujranwala,32.16,74.19,2.8,11.8
River Chenab,Sialkot,32.49,74.52,,13.5
River Chenab,Hafizabad,32.07,73.69,1.2,16.6
River Chenab,Gujrat,32.57,74.08,0.4,
River Ravi,Chamba,32.55,76.13,,6.6
River Ravi,Kathua,32.37,75.52,0.5,11.2
River Ravi,Gurdaspur,32.04,75.4,0.1,6.7
River Ravi,Pathankot,32.27,75.65,0.1,14.6
River Ravi,Narowal,32.1,74.87,0.6,14.9
River Ravi,Okara,30.81,73.45,1.2,11.1
River Ravi,Lahore,31.52,74.36,1.6,14.9
River Sutlej,Bilaspur,31.33,76.76,3.2,7.0
River Sutlej,Kangra,32.1,76.27,,7.9
River Sutlej,Kullu,31.96,77.11,,1.4
River Sutlej,Mandi,31.71,76.93,2.3,17.7
River Sutlej,Solan,30.9,77.1,4.6,3.8
River Sutlej,Hoshiarpur,31.53,75.91,0.6,12.1
River Sutlej,Kapurthala,31.38,75.38,0.4,7.6
River Sutlej,Bahawalnagar,29.99,73.25,2.1,2.2
Nullah Aik & Palku,Udhampur,32.92,75.14,6.9,17.8
Nullah Deg,Samba,32.57,75.12,,
