River,Station,Latitude,Longitude,2026-08-02,2026-08-03
River Indus,Kargil,34.56,76.13,3.6,11.4
River Indus,Leh and Ladakh,34.15,77.58,4.4,1.7
River Indus,Kakul,34.18,73.25,15.4,11.0
River Indus,Malam Jabba,34.79,72.57,8.6,13.4
River Jhelum,Srinagar,34.08,74.79,6.6,7.7
River Jhelum,Bandipore,34.42,74.64,5.0,
River Jhelum,Pulwama,33.87,74.89,,9.3
River Jhelum,Badgam,34.02,74.77,6.6,4.6
River Jhelum,Kupwara,34.53,74.26,4.4,2.0
River Jhelum,Baramulla,34.2,74.35,5.7,4.1
River Jhelum,Anantnag,33.73,75.15,1.1,1.2
River Jhelum,Poonch,33.77,74.09,6.4,3.6
River Jhelum,Qila Rohtas,32.65,73.58,,
River Jhelum,Mangla,33.14,73.64,23.8,8.1
River Jhelum,Mandi Bahauddin,32.59,73.49,2.6,3.3
River Jhelum,Chakwal,32.93,72.86,5.6,6.2
River Jhelum,Palandri,33.71,73.75,2.7,7.6
River Chenab,Kishtwar,33.31,75.77,3.4,3.3
River Chenab,Ramban,33.24,75.24,,
River Chenab,Reasi,33.08,74.83,7.7,7.9
River Chenab,Jammu,32.73,74.86,6.8,4.0
River Chenab,Rajouri,33.38,74.31,5.9,8.0
River Chenab,Doda,33.15,75.55,0.8,6.4
River Chenab,Gujranwala,32.16,74.19,10.1,2.6
River Chenab,Sialkot,32.49,74.52,14.7,
River Chenab,Hafizabad,32.07,73.69,4.6,
River Chenab,Gujrat,32.57,74.08,,4.3
River Ravi,Chamba,32.55,76.13,8.3,5.1
River Ravi,Kathua,32.37,75.52,3.9,3.3
River Ravi,Gurdaspur,32.04,75.4,1.8,4.3
River Ravi,Pathankot,32.27,75.65,3.4,6.2
River Ravi,Narowal,32.1,74.87,4.5,7.9
River Ravi,Okara,30.81,73.45,,
River Ravi,Lahore,31.52,74.36,1.9,6.4
River Sutlej,Bilaspur,31.33,76.76,5.3,4.6
River Sutlej,Kangra,32.1,76.27,2.6,6.3
River Sutlej,Kullu,31.96,77.11,6.2,2.7
River Sutlej,Mandi,31.71,76.93,6.4,3.4
River Sutlej,Solan,30.9,77.1,10.5,
River Sutlej,Hoshiarpur,31.53,75.91,1.2,5.7
River Sutlej,Kapurthala,31.38,75.38,,
River Sutlej,Bahawalnagar,29.99,73.25,1.2,1.0
Nullah Aik & Palku,Udhampur,32.92,75.14,2.9,10.6
Nullah Deg,Samba,32.57,75.12,1.8,4.1
