River,Station,Latitude,Longitude,2026-08-04,2026-08-05
River Indus,Kargil,34.56,76.13,0.6,0.7
River Indus,Leh and Ladakh,34.15,77.58,0.6,2.4
River Indus,Kakul,34.18,73.25,4.7,3.8
River Indus,Malam Jabba,34.79,72.57,12.0,1.8
River Jhelum,Srinagar,34.08,74.79,3.1,0.4
River Jhelum,Bandipore,34.42,74.64,21.7,3.3
River Jhelum,Pulwama,33.87,74.89,,
River Jhelum,Badgam,34.02,74.77,3.1,0.4
River Jhelum,Kupwara,34.53,74.26,5.0,1.1
River Jhelum,Baramulla,34.2,74.35,2.2,1.5
River Jhelum,Anantnag,33.73,75.15,0.7,0.3
River Jhelum,Poonch,33.77,74.09,1.3,2.1
River Jhelum,Qila Rohtas,32.65,73.58,3.6,
River Jhelum,Mangla,33.14,73.64,,3.6
River Jhelum,Mandi Bahauddin,32.59,73.49,2.2,1.0
River Jhelum,Chakwal,32.93,72.86,4.0,1.0
River Jhelum,Palandri,33.71,73.75,2.8,3.3
River Chenab,Kishtwar,33.31,75.77,0.5,2.0
River Chenab,Ramban,33.24,75.24,4.4,4.4
River Chenab,Reasi,33.08,74.83,3.6,
River Chenab,Jammu,32.73,74.86,,6.9
River Chenab,Rajouri,33.38,74.31,3.2,3.0
River Chenab,Doda,33.15,75.55,1.7,8.3
River Chenab,Gujranwala,32.16,74.19,0.8,7.8
River Chenab,Sialkot,32.49,74.52,2.1,8.6
River Chenab,Hafizabad,32.07,73.69,1.5,1.1
River Chenab,Gujrat,32.57,74.08,0.6,
River Ravi,Chamba,32.55,76.13,,3.1
River Ravi,Kathua,32.37,75.52,0.5,8.7
River Ravi,Gurdaspur,32.04,75.4,2.0,12.0
River Ravi,Pathankot,32.27,75.65,1.1,12.3
River Ravi,Narowal,32.1,74.87,1.3,7.1
River Ravi,Okara,30.81,73.45,0.3,1.8
River Ravi,Lahore,31.52,74.36,5.6,
River Sutlej,Bilaspur,31.33,76.76,,6.8
River Sutlej,Kangra,32.1,76.27,9.1,12.4
River Sutlej,Kullu,31.96,77.11,4.3,6.1
River Sutlej,Mandi,31.71,76.93,7.2,8.5
River Sutlej,Solan,30.9,77.1,13.3,6.4
River Sutlej,Hoshiarpur,31.53,75.91,20.8,19.6
River Sutlej,Kapurthala,31.38,75.38,6.3,
River Sutlej,Bahawalnagar,29.99,73.25,,2.2
Nullah Aik & Palku,Udhampur,32.92,75.14,3.7,6.6
Nullah Deg,Samba,32.57,75.12,1.0,5.1
