River,Station,Latitude,Longitude,2026-08-05,2026-08-06
River Indus,Kargil,34.56,76.13,0.6,0.5
River Indus,Leh and Ladakh,34.15,77.58,1.4,0.8
River Indus,Kakul,34.18,73.25,2.5,2.5
River Indus,Malam Jabba,34.79,72.57,1.0,4.5
River Jhelum,Srinagar,34.08,74.79,0.0,15.1
River Jhelum,Bandipore,34.42,74.64,1.0,4.1
River Jhelum,Pulwama,33.87,74.89,0.6,3.5
River Jhelum,Badgam,34.02,74.77,0.0,15.1
River Jhelum,Kupwara,34.53,74.26,,
River Jhelum,Baramulla,34.2,74.35,1.8,2.2
River Jhelum,Anantnag,33.73,75.15,0.3,2.8
River Jhelum,Poonch,33.77,74.09,1.2,0.8
River Jhelum,Qila Rohtas,32.65,73.58,3.2,0.4
River Jhelum,Mangla,33.14,73.64,2.8,4.9
River Jhelum,Mandi Bahauddin,32.59,73.49,0.9,0.7
River Jhelum,Chakwal,32.93,72.86,0.8,3.0
River Jhelum,Palandri,33.71,73.75,1.1,1.2
River Chenab,Kishtwar,33.31,75.77,,
River Chenab,Ramban,33.24,75.24,2.5,3.7
River Chenab,Reasi,33.08,74.83,12.0,4.7
River Chenab,Jammu,32.73,74.86,7.6,2.0
River Chenab,Rajouri,33.38,74.31,1.5,3.2
River Chenab,Doda,33.15,75.55,7.4,5.0
River Chenab,Gujranwala,32.16,74.19,6.9,1.2
River Chenab,Sialkot,32.49,74.52,6.2,1.2
River Chenab,Hafizabad,32.07,73.69,1.2,
River Chenab,Gujrat,32.57,74.08,,3.0
River Ravi,Chamba,32.55,76.13,2.6,3.2
River Ravi,Kathua,32.37,75.52,8.1,1.1
River Ravi,Gurdaspur,32.04,75.4,11.9,1.0
River Ravi,Pathankot,32.27,75.65,10.6,0.2
River Ravi,Narowal,32.1,74.87,5.9,0.7
River Ravi,Okara,30.81,73.45,0.9,5.8
River Ravi,Lahore,31.52,74.36,3.6,5.7
River Sutlej,Bilaspur,31.33,76.76,,
River Sutlej,Kangra,32.1,76.27,12.5,3.8
River Sutlej,Kullu,31.96,77.11,7.4,5.1
River Sutlej,Mandi,31.71,76.93,5.3,8.0
River Sutlej,Solan,30.9,77.1,6.2,11.9
River Sutlej,Hoshiarpur,31.53,75.91,18.9,2.8
River Sutlej,Kapurthala,31.38,75.38,7.3,3.0
River Sutlej,Bahawalnagar,29.99,73.25,2.0,3.7
Nullah Aik & Palku,Udhampur,32.92,75.14,6.4,3.3
Nullah Deg,Samba,32.57,75.12,,0.1
