River,Station,Latitude,Longitude,2026-07-25,2026-07-26
River Indus,Kargil,34.56,76.13,1.1,1.8
River Indus,Leh and Ladakh,34.15,77.58,0.2,1.0
River Indus,Kakul,34.18,73.25,9.7,18.7
River Indus,Malam Jabba,34.79,72.57,10.7,7.0
River Jhelum,Srinagar,34.08,74.79,19.8,12.8
River Jhelum,Bandipore,34.42,74.64,,
River Jhelum,Pulwama,33.87,74.89,13.2,1.4
River Jhelum,Badgam,34.02,74.77,19.8,12.8
River Jhelum,Kupwara,34.53,74.26,10.5,3.2
River Jhelum,Baramulla,34.2,74.35,19.1,1.3
River Jhelum,Anantnag,33.73,75.15,14.0,0.5
River Jhelum,Poonch,33.77,74.09,,
River Jhelum,Qila Rohtas,32.65,73.58,74.7,3.2
River Jhelum,Mangla,33.14,73.64,36.9,0.2
River Jhelum,Mandi Bahauddin,32.59,73.49,50.7,6.5
River Jhelum,Chakwal,32.93,72.86,10.5,1.8
River Jhelum,Palandri,33.71,73.75,25.5,1.6
River Chenab,Kishtwar,33.31,75.77,,
River Chenab,Ramban,33.24,75.24,8.4,5.9
River Chenab,Reasi,33.08,74.83,16.2,2.4
River Chenab,Jammu,32.73,74.86,6.4,0.2
River Chenab,Rajouri,33.38,74.31,26.7,1.0
River Chenab,Doda,33.15,75.55,14.6,7.5
River Chenab,Gujranwala,32.16,74.19,,
River Chenab,Sialkot,32.49,74.52,13.4,0.8
River Chenab,Hafizabad,32.07,73.69,23.2,2.7
River Chenab,Gujrat,32.57,74.08,34.2,0.5
River Ravi,Chamba,32.55,76.13,28.7,1.1
River Ravi,Kathua,32.37,75.52,12.5,0.1
River Ravi,Gurdaspur,32.04,75.4,,
River Ravi,Pathankot,32.27,75.65,33.6,0.1
River Ravi,Narowal,32.1,74.87,36.1,0.5
River Ravi,Okara,30.81,73.45,24.4,2.2
River Ravi,Lahore,31.52,74.36,31.6,3.6
River Sutlej,Bilaspur,31.33,76.76,32.3,5.0
River Sutlej,Kangra,32.1,76.27,32.5,
River Sutlej,Kullu,31.96,77.11,,0.7
River Sutlej,Mandi,31.71,76.93,18.9,1.1
River Sutlej,Solan,30.9,77.1,6.6,17.3
River Sutlej,Hoshiarpur,31.53,75.91,17.6,1.6
River Sutlej,Kapurthala,31.38,75.38,19.6,1.5
River Sutlej,Bahawalnagar,29.99,73.25,11.6,0.3
Nullah Aik & Palku,Udhampur,32.92,75.14,,
Nullah Deg,Samba,32.57,75.12,18.5,0.0
