River,Station,Latitude,Longitude,2026-08-18,2026-08-19
River Indus,Kargil,34.56,76.13,0.4,1.4
River Indus,Leh and Ladakh,34.15,77.58,0.1,1.4
River Indus,Kakul,34.18,73.25,5.0,2.9
River Indus,Malam Jabba,34.79,72.57,7.7,7.6
River Jhelum,Srinagar,34.08,74.79,2.8,6.4
River Jhelum,Bandipore,34.42,74.64,,
River Jhelum,Pulwama,33.87,74.89,2.3,10.1
River Jhelum,Badgam,34.02,74.77,2.8,6.4
River Jhelum,Kupwara,34.53,74.26,0.9,1.5
River Jhelum,Baramulla,34.2,74.35,1.1,1.4
River Jhelum,Anantnag,33.73,75.15,0.0,4.6
River Jhelum,Poonch,33.77,74.09,,
River Jhelum,Qila Rohtas,32.65,73.58,7.1,13.3
River Jhelum,Mangla,33.14,73.64,0.9,9.3
River Jhelum,Mandi Bahauddin,32.59,73.49,3.1,11.3
River Jhelum,Chakwal,32.93,72.86,4.3,3.6
River Jhelum,Palandri,33.71,73.75,10.2,12.3
River Chenab,Kishtwar,33.31,75.77,,
River Chenab,Ramban,33.24,75.24,8.0,18.2
River Chenab,Reasi,33.08,74.83,11.1,12.0
River Chenab,Jammu,32.73,74.86,16.5,14.1
River Chenab,Rajouri,33.38,74.31,9.4,5.8
River Chenab,Doda,33.15,75.55,9.0,22.8
River Chenab,Gujranwala,32.16,74.19,4.3,6.1
River Chenab,Sialkot,32.49,74.52,,21.9
River Chenab,Hafizabad,32.07,73.69,4.7,7.6
River Chenab,Gujrat,32.57,74.08,,13.7
River Ravi,Chamba,32.55,76.13,,
River Ravi,Kathua,32.37,75.52,7.9,29.2
River Ravi,Gurdaspur,32.04,75.4,5.6,30.5
River Ravi,Pathankot,32.27,75.65,9.9,38.7
River Ravi,Narowal,32.1,74.87,10.4,16.4
River Ravi,Okara,30.81,73.45,9.7,0.3
River Ravi,Lahore,31.52,74.36,3.9,
River Sutlej,Bilaspur,31.33,76.76,10.3,
River Sutlej,Kangra,32.1,76.27,,20.7
River Sutlej,Kullu,31.96,77.11,2.1,12.0
River Sutlej,Mandi,31.71,76.93,17.7,22.8
River Sutlej,Solan,30.9,77.1,2.6,16.7
River Sutlej,Hoshiarpur,31.53,75.91,6.1,19.3
River Sutlej,Kapurthala,31.38,75.38,3.7,
River Sutlej,Bahawalnagar,29.99,73.25,,0.0
Nullah Aik & Palku,Udhampur,32.92,75.14,8.6,7.6
Nullah Deg,Samba,32.57,75.12,7.5,32.2
