River,Station,Latitude,Longitude,2026-07-30,2026-07-31
River Indus,Kargil,34.56,76.13,3.9,0.2
River Indus,Leh and Ladakh,34.15,77.58,1.4,1.9
River Indus,Kakul,34.18,73.25,2.2,19.6
River Indus,Malam Jabba,34.79,72.57,2.9,17.4
River Jhelum,Srinagar,34.08,74.79,0.3,4.5
River Jhelum,Bandipore,34.42,74.64,0.7,1.2
River Jhelum,Pulwama,33.87,74.89,,
River Jhelum,Badgam,34.02,74.77,0.3,4.5
River Jhelum,Kupwara,34.53,74.26,0.4,0.9
River Jhelum,Baramulla,34.2,74.35,7.7,4.2
River Jhelum,Anantnag,33.73,75.15,0.4,0.4
River Jhelum,Poonch,33.77,74.09,2.2,6.3
River Jhelum,Qila Rohtas,32.65,73.58,4.4,2.0
River Jhelum,Mangla,33.14,73.64,,
River Jhelum,Mandi Bahauddin,32.59,73.49,2.9,3.1
River Jhelum,Chakwal,32.93,72.86,1.5,5.9
River Jhelum,Palandri,33.71,73.75,3.5,4.5
River Chenab,Kishtwar,33.31,75.77,5.2,15.6
River Chenab,Ramban,33.24,75.24,8.4,12.5
River Chenab,Reasi,33.08,74.83,8.4,7.6
River Chenab,Jammu,32.73,74.86,,5.6
River Chenab,Rajouri,33.38,74.31,,
River Chenab,Doda,33.15,75.55,8.8,9.2
River Chenab,Gujranwala,32.16,74.19,3.1,10.8
River Chenab,Sialkot,32.49,74.52,4.9,5.5
River Chenab,Hafizabad,32.07,73.69,2.4,0.9
River Chenab,Gujrat,32.57,74.08,0.3,7.7
River Ravi,Chamba,32.55,76.13,11.0,26.1
River Ravi,Kathua,32.37,75.52,,42.7
River Ravi,Gurdaspur,32.04,75.4,,
River Ravi,Pathankot,32.27,75.65,1.5,14.9
River Ravi,Narowal,32.1,74.87,0.5,6.6
River Ravi,Okara,30.81,73.45,9.0,8.9
River Ravi,Lahore,31.52,74.36,3.8,17.9
River Sutlej,Bilaspur,31.33,76.76,15.0,1.4
River Sutlej,Kangra,32.1,76.27,0.5,1.2
River Sutlej,Kullu,31.96,77.11,3.2,
River Sutlej,Mandi,31.71,76.93,,5.2
River Sutlej,Solan,30.9,77.1,1.7,7.4
River Sutlej,Hoshiarpur,31.53,75.91,1.0,9.5
River Sutlej,Kapurthala,31.38,75.38,1.5,20.1
River Sutlej,Bahawalnagar,29.99,73.25,12.3,3.5
Nullah Aik & Palku,Udhampur,32.92,75.14,3.3,7.5
Nullah Deg,Samba,32.57,75.12,,1.7
