River,Station,Latitude,Longitude,2026-08-19,2026-08-20
River Indus,Kargil,34.56,76.13,0.5,1.0
River Indus,Leh and Ladakh,34.15,77.58,1.8,2.1
River Indus,Kakul,34.18,73.25,8.3,25.5
River Indus,Malam Jabba,34.79,72.57,13.2,13.9
River Jhelum,Srinagar,34.08,74.79,6.8,0.8
River Jhelum,Bandipore,34.42,74.64,9.9,5.8
River Jhelum,Pulwama,33.87,74.89,9.9,
River Jhelum,Badgam,34.02,74.77,,0.8
River Jhelum,Kupwara,34.53,74.26,1.3,0.2
River Jhelum,Baramulla,34.2,74.35,4.5,2.1
River Jhelum,Anantnag,33.73,75.15,4.6,1.3
River Jhelum,Poonch,33.77,74.09,8.2,7.9
River Jhelum,Qila Rohtas,32.65,73.58,13.5,12.6
River Jhelum,Mangla,33.14,73.64,9.0,30.0
River Jhelum,Mandi Bahauddin,32.59,73.49,,
River Jhelum,Chakwal,32.93,72.86,2.8,27.1
River Jhelum,Palandri,33.71,73.75,15.3,4.3
River Chenab,Kishtwar,33.31,75.77,3.2,9.5
River Chenab,Ramban,33.24,75.24,19.7,5.0
River Chenab,Reasi,33.08,74.83,9.3,4.2
River Chenab,Jammu,32.73,74.86,15.3,3.7
River Chenab,Rajouri,33.38,74.31,,3.1
River Chenab,Doda,33.15,75.55,19.2,4.7
River Chenab,Gujranwala,32.16,74.19,5.3,8.4
River Chenab,Sialkot,32.49,74.52,,2.2
River Chenab,Hafizabad,32.07,73.69,,
River Chenab,Gujrat,32.57,74.08,12.8,9.2
River Ravi,Chamba,32.55,76.13,11.9,2.3
River Ravi,Kathua,32.37,75.52,29.2,11.9
River Ravi,Gurdaspur,32.04,75.4,30.4,4.7
River Ravi,Pathankot,32.27,75.65,38.7,10.3
River Ravi,Narowal,32.1,74.87,16.7,7.2
River Ravi,Okara,30.81,73.45,0.3,
River Ravi,Lahore,31.52,74.36,,20.1
River Sutlej,Bilaspur,31.33,76.76,13.4,1.8
River Sutlej,Kangra,32.1,76.27,20.8,0.0
River Sutlej,Kullu,31.96,77.11,11.6,1.5
River Sutlej,Mandi,31.71,76.93,20.2,0.8
River Sutlej,Solan,30.9,77.1,15.3,3.4
River Sutlej,Hoshiarpur,31.53,75.91,18.6,3.5
River Sutlej,Kapurthala,31.38,75.38,9.9,0.9
River Sutlej,Bahawalnagar,29.99,73.25,0.0,
Nullah Aik & Palku,Udhampur,32.92,75.14,8.5,10.4
Nullah Deg,Samba,32.57,75.12,30.5,5.0
