River,Station,Latitude,Longitude,2026-07-26,2026-07-27
River Indus,Kargil,34.56,76.13,1.7,0.3
River Indus,Leh and Ladakh,34.15,77.58,1.1,0.1
River Indus,Kakul,34.18,73.25,18.4,0.7
River Indus,Malam Jabba,34.79,72.57,9.2,1.9
River Jhelum,Srinagar,34.08,74.79,13.4,0.3
River Jhelum,Bandipore,34.42,74.64,7.9,
River Jhelum,Pulwama,33.87,74.89,,0.3
River Jhelum,Badgam,34.02,74.77,13.4,0.3
River Jhelum,Kupwara,34.53,74.26,3.4,0.2
River Jhelum,Baramulla,34.2,74.35,1.7,0.7
River Jhelum,Anantnag,33.73,75.15,0.9,0.0
River Jhelum,Poonch,33.77,74.09,3.7,0.3
River Jhelum,Qila Rohtas,32.65,73.58,,
River Jhelum,Mangla,33.14,73.64,0.1,0.1
River Jhelum,Mandi Bahauddin,32.59,73.49,6.4,0.0
River Jhelum,Chakwal,32.93,72.86,1.4,0.1
River Jhelum,Palandri,33.71,73.75,1.2,1.4
River Chenab,Kishtwar,33.31,75.77,4.0,4.6
River Chenab,Ramban,33.24,75.24,5.5,
River Chenab,Reasi,33.08,74.83,,4.4
River Chenab,Jammu,32.73,74.86,0.5,0.8
River Chenab,Rajouri,33.38,74.31,0.7,0.7
River Chenab,Doda,33.15,75.55,5.6,9.9
River Chenab,Gujranwala,32.16,74.19,4.2,0.2
River Chenab,Sialkot,32.49,74.52,0.5,4.2
River Chenab,Hafizabad,32.07,73.69,,0.0
River Chenab,Gujrat,32.57,74.08,,
River Ravi,Chamba,32.55,76.13,1.4,9.0
River Ravi,Kathua,32.37,75.52,0.1,4.0
River Ravi,Gurdaspur,32.04,75.4,0.0,4.7
River Ravi,Pathankot,32.27,75.65,0.0,9.3
River Ravi,Narowal,32.1,74.87,0.5,7.9
River Ravi,Okara,30.81,73.45,3.5,
River Ravi,Lahore,31.52,74.36,,0.4
River Sutlej,Bilaspur,31.33,76.76,4.9,4.9
River Sutlej,Kangra,32.1,76.27,1.9,15.7
River Sutlej,Kullu,31.96,77.11,1.1,2.5
River Sutlej,Mandi,31.71,76.93,1.2,6.0
River Sutlej,Solan,30.9,77.1,15.1,5.2
River Sutlej,Hoshiarpur,31.53,75.91,,
River Sutlej,Kapurthala,31.38,75.38,3.2,2.0
River Sutlej,Bahawalnagar,29.99,73.25,2.0,0.1
Nullah Aik & Palku,Udhampur,32.92,75.14,3.6,2.3
Nullah Deg,Samba,32.57,75.12,0.1,1.9
