River,Station,Latitude,Longitude,2026-08-07,2026-08-08
River Indus,Kargil,34.56,76.13,0.2,2.1
River Indus,Leh and Ladakh,34.15,77.58,3.2,2.3
River Indus,Kakul,34.18,73.25,0.7,2.2
River Indus,Malam Jabba,34.79,72.57,0.7,7.3
River Jhelum,Srinagar,34.08,74.79,0.4,6.0
River Jhelum,Bandipore,34.42,74.64,0.3,5.7
River Jhelum,Pulwama,33.87,74.89,0.2,
River Jhelum,Badgam,34.02,74.77,,6.0
River Jhelum,Kupwara,34.53,74.26,0.0,0.3
River Jhelum,Baramulla,34.2,74.35,0.1,1.1
River Jhelum,Anantnag,33.73,75.15,0.2,10.3
River Jhelum,Poonch,33.77,74.09,2.6,2.8
River Jhelum,Qila Rohtas,32.65,73.58,16.5,1.0
River Jhelum,Mangla,33.14,73.64,6.9,
River Jhelum,Mandi Bahauddin,32.59,73.49,,0.4
River Jhelum,Chakwal,32.93,72.86,9.9,0.9
River Jhelum,Palandri,33.71,73.75,3.5,3.8
River Chenab,Kishtwar,33.31,75.77,8.9,14.5
River Chenab,Ramban,33.24,75.24,3.9,17.5
River Chenab,Reasi,33.08,74.83,6.4,18.3
River Chenab,Jammu,32.73,74.86,,
River Chenab,Rajouri,33.38,74.31,1.6,8.3
River Chenab,Doda,33.15,75.55,4.5,9.6
River Chenab,Gujranwala,32.16,74.19,6.1,1.2
River Chenab,Sialkot,32.49,74.52,4.5,5.8
River Chenab,Hafizabad,32.07,73.69,14.1,0.3
River Chenab,Gujrat,32.57,74.08,14.7,0.5
River Ravi,Chamba,32.55,76.13,,9.4
River Ravi,Kathua,32.37,75.52,,9.6
River Ravi,Gurdaspur,32.04,75.4,,
River Ravi,Pathankot,32.27,75.65,1.3,2.4
River Ravi,Narowal,32.1,74.87,1.4,1.0
River Ravi,Okara,30.81,73.45,0.7,0.4
River Ravi,Lahore,31.52,74.36,0.8,5.8
River Sutlej,Bilaspur,31.33,76.76,3.5,4.5
River Sutlej,Kangra,32.1,76.27,13.4,11.1
River Sutlej,Kullu,31.96,77.11,,
River Sutlej,Mandi,31.71,76.93,22.7,5.1
River Sutlej,Solan,30.9,77.1,2.8,8.9
River Sutlej,Hoshiarpur,31.53,75.91,1.4,1.0
River Sutlej,Kapurthala,31.38,75.38,3.5,6.2
River Sutlej,Bahawalnagar,29.99,73.25,0.5,0.3
Nullah Aik & Palku,Udhampur,32.92,75.14,3.4,19.2
Nullah Deg,Samba,32.57,75.12,13.1,
