River,Station,Latitude,Longitude,2026-07-29,2026-07-30
River Indus,Kargil,34.56,76.13,0.5,1.6
River Indus,Leh and Ladakh,34.15,77.58,0.5,3.0
River Indus,Kakul,34.18,73.25,5.1,2.6
River Indus,Malam Jabba,34.79,72.57,3.8,3.5
River Jhelum,Srinagar,34.08,74.79,1.0,0.4
River Jhelum,Bandipore,34.42,74.64,1.4,
River Jhelum,Pulwama,33.87,74.89,,4.1
River Jhelum,Badgam,34.02,74.77,1.0,0.4
River Jhelum,Kupwara,34.53,74.26,0.1,0.6
River Jhelum,Baramulla,34.2,74.35,0.3,1.1
River Jhelum,Anantnag,33.73,75.15,0.4,0.3
River Jhelum,Poonch,33.77,74.09,5.8,3.3
River Jhelum,Qila Rohtas,32.65,73.58,,
River Jhelum,Mangla,33.14,73.64,16.5,0.7
River Jhelum,Mandi Bahauddin,32.59,73.49,8.5,3.3
River Jhelum,Chakwal,32.93,72.86,1.9,1.5
River Jhelum,Palandri,33.71,73.75,9.8,16.1
River Chenab,Kishtwar,33.31,75.77,7.4,6.6
River Chenab,Ramban,33.24,75.24,1.9,
River Chenab,Reasi,33.08,74.83,,10.0
River Chenab,Jammu,32.73,74.86,4.1,4.9
River Chenab,Rajouri,33.38,74.31,17.5,4.0
River Chenab,Doda,33.15,75.55,4.2,7.1
River Chenab,Gujranwala,32.16,74.19,0.5,1.1
River Chenab,Sialkot,32.49,74.52,7.5,
River Chenab,Hafizabad,32.07,73.69,2.7,
River Chenab,Gujrat,32.57,74.08,16.4,0.7
River Ravi,Chamba,32.55,76.13,4.8,3.1
River Ravi,Kathua,32.37,75.52,16.1,0.8
River Ravi,Gurdaspur,32.04,75.4,9.3,0.3
River Ravi,Pathankot,32.27,75.65,12.0,0.2
River Ravi,Narowal,32.1,74.87,14.4,
River Ravi,Okara,30.81,73.45,2.4,
River Ravi,Lahore,31.52,74.36,,0.7
River Sutlej,Bilaspur,31.33,76.76,1.1,20.0
River Sutlej,Kangra,32.1,76.27,22.1,1.4
River Sutlej,Kullu,31.96,77.11,22.4,5.8
River Sutlej,Mandi,31.71,76.93,7.5,3.4
River Sutlej,Solan,30.9,77.1,5.8,2.2
River Sutlej,Hoshiarpur,31.53,75.91,,
River Sutlej,Kapurthala,31.38,75.38,0.3,4.2
River Sutlej,Bahawalnagar,29.99,73.25,7.5,11.2
Nullah Aik & Palku,Udhampur,32.92,75.14,3.0,4.5
Nullah Deg,Samba,32.57,75.12,4.1,2.9
