River,Station,Latitude,Longitude,2026-08-06,2026-08-07
River Indus,Kargil,34.56,76.13,1.0,0.3
River Indus,Leh and Ladakh,34.15,77.58,0.7,1.9
River Indus,Kakul,34.18,73.25,2.4,0.6
River Indus,Malam Jabba,34.79,72.57,3.4,0.3
River Jhelum,Srinagar,34.08,74.79,11.2,0.4
River Jhelum,Bandipore,34.42,74.64,10.1,
River Jhelum,Pulwama,33.87,74.89,,0.3
River Jhelum,Badgam,34.02,74.77,11.2,0.4
River Jhelum,Kupwara,34.53,74.26,1.3,0.0
River Jhelum,Baramulla,34.2,74.35,1.4,0.2
River Jhelum,Anantnag,33.73,75.15,5.3,0.5
River Jhelum,Poonch,33.77,74.09,1.8,2.6
River Jhelum,Qila Rohtas,32.65,73.58,1.1,
River Jhelum,Mangla,33.14,73.64,,6.9
River Jhelum,Mandi Bahauddin,32.59,73.49,0.8,13.2
River Jhelum,Chakwal,32.93,72.86,6.1,9.6
River Jhelum,Palandri,33.71,73.75,1.3,3.6
River Chenab,Kishtwar,33.31,75.77,11.4,12.9
River Chenab,Ramban,33.24,75.24,12.2,5.8
River Chenab,Reasi,33.08,74.83,2.5,
River Chenab,Jammu,32.73,74.86,,10.0
River Chenab,Rajouri,33.38,74.31,4.4,1.8
River Chenab,Doda,33.15,75.55,3.7,4.0
River Chenab,Gujranwala,32.16,74.19,1.8,6.1
River Chenab,Sialkot,32.49,74.52,1.0,4.6
River Chenab,Hafizabad,32.07,73.69,1.8,14.1
River Chenab,Gujrat,32.57,74.08,3.0,
River Ravi,Chamba,32.55,76.13,13.2,
River Ravi,Kathua,32.37,75.52,,15.7
River Ravi,Gurdaspur,32.04,75.4,2.0,0.7
River Ravi,Pathankot,32.27,75.65,4.7,1.1
River Ravi,Narowal,32.1,74.87,0.8,0.3
River Ravi,Okara,30.81,73.45,6.2,0.5
River Ravi,Lahore,31.52,74.36,5.5,
River Sutlej,Bilaspur,31.33,76.76,,4.1
River Sutlej,Kangra,32.1,76.27,4.1,11.0
River Sutlej,Kullu,31.96,77.11,10.3,23.5
River Sutlej,Mandi,31.71,76.93,4.2,24.2
River Sutlej,Solan,30.9,77.1,5.9,6.3
River Sutlej,Hoshiarpur,31.53,75.91,1.3,1.1
River Sutlej,Kapurthala,31.38,75.38,,
River Sutlej,Bahawalnagar,29.99,73.25,2.1,0.9
Nullah Aik & Palku,Udhampur,32.92,75.14,6.9,4.2
Nullah Deg,Samba,32.57,75.12,0.4,12.9
