River,Station,Latitude,Longitude,2026-09-17,2026-09-18
River Indus,Kargil,34.56,76.13,3.5,0.1
River Indus,Leh and Ladakh,34.15,77.58,1.0,0.8
River Indus,Kakul,34.18,73.25,14.3,0.6
River Indus,Malam Jabba,34.79,72.57,15.7,1.0
River Jhelum,Srinagar,34.08,74.79,8.1,0.0
River Jhelum,Bandipore,34.42,74.64,10.1,0.0
River Jhelum,Pulwama,33.87,74.89,4.8,
River Jhelum,Badgam,34.02,74.77,,0.0
River Jhelum,Kupwara,34.53,74.26,5.1,0.0
River Jhelum,Baramulla,34.2,74.35,3.6,0.0
River Jhelum,Anantnag,33.73,75.15,4.7,0.0
River Jhelum,Poonch,33.77,74.09,5.6,0.0
River Jhelum,Qila Rohtas,32.65,73.58,4.2,
River Jhelum,Mangla,33.14,73.64,,0.0
River Jhelum,Mandi Bahauddin,32.59,73.49,3.9,0.0
River Jhelum,Chakwal,32.93,72.86,6.8,0.0
River Jhelum,Palandri,33.71,73.75,14.0,1.1
River Chenab,Kishtwar,33.31,75.77,12.7,0.2
River Chenab,Ramban,33.24,75.24,6.5,
River Chenab,Reasi,33.08,74.83,2.4,0.1
River Chenab,Jammu,32.73,74.86,4.5,0.0
River Chenab,Rajouri,33.38,74.31,2.8,
River Chenab,Doda,33.15,75.55,,0.4
River Chenab,Gujranwala,32.16,74.19,12.8,1.2
River Chenab,Sialkot,32.49,74.52,5.6,0.0
River Chenab,Hafizabad,32.07,73.69,15.0,0.0
River Chenab,Gujrat,32.57,74.08,5.5,0.0
River Ravi,Chamba,32.55,76.13,15.0,0.1
River Ravi,Kathua,32.37,75.52,,
River Ravi,Gurdaspur,32.04,75.4,3.7,0.7
River Ravi,Pathankot,32.27,75.65,9.3,0.0
River Ravi,Narowal,32.1,74.87,8.0,0.4
River Ravi,Okara,30.81,73.45,4.2,1.5
River Ravi,Lahore,31.52,74.36,10.6,1.9
River Sutlej,Bilaspur,31.33,76.76,15.4,
River Sutlej,Kangra,32.1,76.27,,0.0
River Sutlej,Kullu,31.96,77.11,14.8,0.3
River Sutlej,Mandi,31.71,76.93,11.2,0.0
River Sutlej,Solan,30.9,77.1,7.2,0.5
River Sutlej,Hoshiarpur,31.53,75.91,13.1,1.5
River Sutlej,Kapurthala,31.38,75.38,16.2,0.8
River Sutlej,Bahawalnagar,29.99,73.25,,1.5
Nullah Aik & Palku,Udhampur,32.92,75.14,,
Nullah Deg,Samba,32.57,75.12,3.7,0.0
